idSport;Session;date;debut;details;fin;idLieu
6;BK310;31/07/2024;12:30:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";14:30:00;10
6;BK311;31/07/2024;17:30:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";19:30:00;10
6;BK312;31/07/2024;21:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";23:00;10
6;BK313;31/07/2024;17:30:00;Femmes, matches de poule (4 matchs);19:30:00;10
6;BK314;31/07/2024;21:30:00;Femmes, play in (2 matchs);22:30:00;10
6;BK315;31/07/2024;17:30:00;Hommes, matches de poule (4 matches);19:30:00;10
6;BK316;31/07/2024;21:30:00;Hommes, play in (2 matchs);22:30:00;10
6;BK317;31/07/2024;17:30:00;Femmes et hommes, demi-finales;19:30:00;10
6;BK318;31/07/2024;21:00;"Femmes, match pour la médaille de bronze
Hommes, match pour la médaille de bronze
Femmes, match pour la médaille d'or
Hommes, match pour la médaille d'or";23:20:00;10
6;VBV01;27/07/2024;14:00;Tour préliminaire - Femmes et hommes (2 matchs);16:00;34
6;VBV02;27/07/2024;18:00;Tour préliminaire - Femmes et hommes (2 matchs);20:00;34
6;VBV03;27/07/2024;22:00;Tour préliminaire - Femmes et hommes (2 matchs);00:00;34
6;VBV04;28/07/2024;09:00;Tour préliminaire - Femmes et hommes (4 matchs);13:00;34
6;VBV05;28/07/2024;15:00;Tour préliminaire - Femmes et hommes (3 matchs);18:00;34
6;VBV06;28/07/2024;20:00;Tour préliminaire - Femmes et hommes (3 matchs);23:00;34
6;VBV07;29/07/2024;09:00;Tour préliminaire - Femmes et hommes (4 matchs);13:00;34
6;VBV08;29/07/2024;15:00;Tour préliminaire - Femmes et hommes (3 matchs);18:00;34
6;VBV09;29/07/2024;20:00;Tour préliminaire - Femmes et hommes (3 matchs);23:00;34
6;VBV10;30/07/2024;09:00;Tour préliminaire - Femmes et hommes (4 matchs);13:00;34
6;VBV11;30/07/2024;15:00;Tour préliminaire - Femmes et hommes (3 matchs);18:00;34
6;VBV12;30/07/2024;20:00;Tour préliminaire - Femmes et hommes (3 matchs);23:00;34
6;VBV13;31/07/2024;09:00;Tour préliminaire - Femmes et hommes (4 matchs);13:00;34
6;VBV14;31/07/2024;15:00;Tour préliminaire - Femmes et hommes (3 matchs);18:00;34
6;VBV15;31/07/2024;20:00;Tour préliminaire - Femmes et hommes (3 matchs);23:00;34
6;VBV16;01/08/2024;09:00;Tour préliminaire - Femmes et hommes (4 matchs);13:00;34
6;VBV17;01/08/2024;15:00;Tour préliminaire - Femmes et hommes (3 matchs);18:00;34
6;VBV18;01/08/2024;20:00;Tour préliminaire - Femmes et hommes (3 matchs);23:00;34
6;VBV19;02/08/2024;09:00;Tour préliminaire - Femmes et hommes (4 matchs);13:00;34
6;VBV20;02/08/2024;15:00;Tour préliminaire - Femmes et hommes (3 matchs);18:00;34
6;VBV21;02/08/2024;20:00;Tour préliminaire - Femmes et hommes (3 matchs);23:00;34
